기준 일자,시도명,시군구명,행정동명,업종대분류코드,업종중분류코드,가공기업구분코드,법인구분명,기업상태코드,기업상태명,총기업수,등록 일자,작업자명
2019-11-30,서울,강남구,역삼1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-30,서울,금천구,시흥1동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-30,서울,서초구,서초3동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-30,서울,송파구,장지동,F,F41,4,개인면세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-30,서울,영등포구,당산2동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-28,서울,강남구,역삼2동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-28,서울,강동구,성내2동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-28,서울,영등포구,신길1동,F,F41,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-29,서울,강남구,논현2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-29,서울,영등포구,당산1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-27,서울,서초구,방배4동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-25,서울,서초구,양재1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-25,서울,서대문구,충현동,F,F41,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-22,서울,강남구,청담동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-20,서울,노원구,월계1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-20,서울,서초구,방배4동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-19,서울,서대문구,연희동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-13,서울,마포구,상암동,F,F42,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-29,서울,광진구,화양동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-29,서울,광진구,구의1동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-29,서울,송파구,잠실본동,F,F42,3,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,중구,약수동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,구로구,고척2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,마포구,상암동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,송파구,문정2동,F,F41,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,송파구,문정2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-24,서울,영등포구,양평1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-11,서울,관악구,미성동,F,F41,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-11,서울,양천구,목3동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-11,서울,서대문구,충현동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-11-11,서울,영등포구,신길1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-14,서울,강동구,성내1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-14,서울,강서구,등촌1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-14,서울,관악구,보라매동,F,F42,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-14,서울,도봉구,방학1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-30,서울,강남구,논현1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-30,서울,구로구,신도림동,F,F42,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-10-30,서울,중랑구,상봉2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-07-19,서울,금천구,독산1동,F,F42,99,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-19,서울,서초구,양재2동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-09-19,서울,중랑구,중화1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-29,서울,강남구,역삼2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-29,서울,금천구,가산동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-30,서울,강동구,성내1동,F,F41,4,개인과세사업자,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-30,서울,강동구,성내3동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-30,서울,서초구,양재1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-03-30,서울,양천구,목1동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-23,서울,강남구,논현2동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-23,서울,강서구,화곡1동,F,F41,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-23,서울,서초구,서초3동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
2019-08-22,서울,양천구,목5동,F,F42,4,영리법인본점,2,폐업자,1,2019-12-13,KED_SYSTEM
