STDR_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,INDUTY_LCLAS_CODE,INDUTY_MLSFC_CODE,INDUTY_LCLAS_NM,INDUTY_MLSFC_NM,SEXDSTN_CODE,SEXDSTN,AGRDE_CODE,AGRDE,NCR_CPR_CO,CAPL_AVRG_AM,REGIST_DE,OPERTOR_NM
2011-01,서울,마포구,서교동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,100000000.0,2019-10-19,KEDSYS
2011-01,서울,마포구,용강동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,30000000.0,2019-10-19,KEDSYS
2011-01,서울,마포구,합정동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,마포구,합정동,P,P85,교육 서비스업,교육 서비스업,F,여성,30,30대,1.0,60000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,대치2동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,241000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,대치2동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,80000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,대치2동,P,P85,교육 서비스업,교육 서비스업,M,남성,50,50대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,대치2동,P,P85,교육 서비스업,교육 서비스업,F,여성,30,30대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,대치4동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,서초구,양재1동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,100000000.0,2019-10-19,KEDSYS
2011-01,서울,서초구,양재2동,P,P85,교육 서비스업,교육 서비스업,F,여성,40,40대,1.0,100000000.0,2019-10-19,KEDSYS
2011-01,서울,성동구,왕십리도선동,P,P85,교육 서비스업,교육 서비스업,F,여성,50,50대,1.0,0.0,2019-10-19,KEDSYS
2011-01,서울,성북구,성북동,P,P85,교육 서비스업,교육 서비스업,M,남성,70,70대,1.0,5000000.0,2019-10-19,KEDSYS
2011-01,서울,중구,소공동,P,P85,교육 서비스업,교육 서비스업,F,여성,60,60대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,신사동,P,P85,교육 서비스업,교육 서비스업,N,정보없음,40,40대,1.0,100000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,청담동,P,P85,교육 서비스업,교육 서비스업,F,여성,30,30대,1.0,10000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,개포4동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,10000000.0,2019-10-19,KEDSYS
2011-01,서울,서초구,반포1동,P,P85,교육 서비스업,교육 서비스업,M,남성,50,50대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,서초구,반포3동,P,P85,교육 서비스업,교육 서비스업,F,여성,30,30대,1.0,110000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,역삼2동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,300000000.0,2019-10-19,KEDSYS
2011-01,서울,송파구,방이1동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,송파구,송파1동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,51000000.0,2019-10-19,KEDSYS
2011-01,서울,송파구,잠실4동,P,P85,교육 서비스업,교육 서비스업,F,여성,50,50대,1.0,10000000.0,2019-10-19,KEDSYS
2011-01,서울,양천구,신월7동,P,P85,교육 서비스업,교육 서비스업,M,남성,50,50대,1.0,1300000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,압구정동,P,P85,교육 서비스업,교육 서비스업,M,남성,60,60대,1.0,10000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,압구정동,P,P85,교육 서비스업,교육 서비스업,F,여성,40,40대,1.0,531250000.0,2019-10-19,KEDSYS
2011-01,서울,강서구,염창동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,90000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,삼성2동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,삼성2동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,강남구,역삼1동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,2.0,50000000.0,2019-10-19,KEDSYS
2011-01,서울,종로구,종로1.2.3.4가동,P,P85,교육 서비스업,교육 서비스업,M,남성,30,30대,1.0,110570000.0,2019-10-19,KEDSYS
2011-01,서울,종로구,종로1.2.3.4가동,P,P85,교육 서비스업,교육 서비스업,M,남성,40,40대,1.0,100000000.0,2019-10-19,KEDSYS
2011-01,서울,종로구,가회동,P,P85,교육 서비스업,교육 서비스업,M,남성,50,50대,1.0,5000000.0,2019-10-19,KEDSYS
2011-01,서울,종로구,창신제2동,P,P85,교육 서비스업,교육 서비스업,F,여성,50,50대,1.0,0.0,2019-10-19,KEDSYS
