STDR_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,INDUTY_LCLAS_CODE,INDUTY_MLSFC_CODE,INDUTY_LCLAS_NM,INDUTY_MLSFC_NM,PRCSS_ENTRPRS_SE_CODE,PRCSS_ENTRPRS_SE,PDSMLPZ_SCTN_CODE,PDSMLPZ_SCTN,TOT_ENTRPRS_CO,EMPLY_CO,EMPLY_AVRG_CO,ECNY_CO,ECNY_AVRG_CO,RETIRE_CO,RETIRE_AVRG_CO,WAGE_AVRG_AM,REGIST_DE,OPERTOR_NM
2015-11,서울,중구,명동,Q,Q86,보건업 및 사회복지 서비스업,보건업,3,중기업,2,2년 이상 5년 미만,1,24,24.0,1,1.0,0,0.0,23536111.0,2020-10-20,KEDSYS
2015-11,서울,중구,필동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,40,40년 이상 50년 미만,1,15,15.0,0,0.0,2,2.0,29175822.0,2020-10-20,KEDSYS
2015-11,서울,중구,광희동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,0,1년 미만,1,2,2.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,개포4동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,2,2년 이상 5년 미만,1,38,38.0,5,5.0,2,2.0,17387088.0,2020-10-20,KEDSYS
2015-11,서울,강남구,논현1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,2,중견기업,10,10년 이상 20년 미만,1,72,72.0,1,1.0,0,0.0,33073815.0,2020-10-20,KEDSYS
2015-11,서울,강남구,논현2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,3,3.0,0,0.0,0,0.0,17395556.0,2020-10-20,KEDSYS
2015-11,서울,강남구,대치4동,Q,Q86,보건업 및 사회복지 서비스업,보건업,98,판단제외,0,1년 미만,1,99,99.0,1,1.0,5,5.0,22460714.0,2020-10-20,KEDSYS
2015-11,서울,강남구,삼성1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,0,1년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,역삼1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,5,5년 이상 10년 미만,1,3,3.0,1,1.0,0,0.0,18832000.0,2020-10-20,KEDSYS
2015-11,서울,강남구,압구정동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,5,5.0,0,0.0,0,0.0,11286933.0,2020-10-20,KEDSYS
2015-11,서울,강동구,길동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,2,2년 이상 5년 미만,1,6,6.0,0,0.0,0,0.0,22000000.0,2020-10-20,KEDSYS
2015-11,서울,강북구,수유1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,98,판단제외,0,1년 미만,1,123,123.0,3,3.0,5,5.0,11992195.0,2020-10-20,KEDSYS
2015-11,서울,강서구,가양1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,2,9,4.5,1,0.5,0,0.0,17203000.0,2020-10-20,KEDSYS
2015-11,서울,강서구,화곡1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,2,20,10.0,2,1.0,0,0.0,25012413.0,2020-10-20,KEDSYS
