기준 일자,시도명,시군구명,행정동명,업종대분류코드,업종중분류코드,가공기업구분코드,법인구분명,기업상태코드,기업상태명,총기업수,등록 일자,작업자명
2019-11-29,서울,성북구,길음제1동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-26,서울,서대문구,홍제1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-22,서울,동대문구,이문1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-16,서울,광진구,자양2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-13,서울,중랑구,중화1동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-18,서울,서초구,양재2동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-18,서울,영등포구,영등포동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-19,서울,종로구,이화동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-07-12,서울,송파구,석촌동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-25,서울,광진구,군자동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-25,서울,광진구,화양동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-06-08,서울,구로구,개봉제3동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-08-31,서울,종로구,숭인2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-24,서울,서초구,양재2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-11-09,서울,강남구,역삼1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-04,서울,마포구,공덕동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-02,서울,송파구,방이2동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-05-17,서울,강남구,논현1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2013-04-11,서울,서초구,서초2동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-30,서울,강남구,논현1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-07-12,서울,관악구,조원동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-08-20,서울,서초구,양재2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-20,서울,강동구,천호2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-16,서울,광진구,구의1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-16,서울,금천구,가산동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2012-03-19,서울,강남구,역삼1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2011-08-24,서울,송파구,방이1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-05-23,서울,구로구,고척1동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2014-04-17,서울,성동구,성수2가3동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-02-27,서울,송파구,문정1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-01,서울,서초구,서초1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-09-18,서울,강남구,세곡동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-08-02,서울,광진구,광장동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-08-01,서울,중랑구,망우3동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-06-27,서울,양천구,신월2동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-09-22,서울,중구,신당제5동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-11-26,서울,광진구,능동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-12-29,서울,영등포구,문래동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
